Agent,Partner,Game,Payoff
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.628000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.648000
S#-Frank,S#-Frank,Alternator Game,0.628000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.544000
S#-Frank,S#-Frank,Alternator Game,0.628000
S#-Frank,S#-Frank,Alternator Game,0.668000
S#-Frank,S#-Frank,Alternator Game,0.636000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.620000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.644000
S#-Frank,S#-Frank,Alternator Game,0.640000
S#-Frank,S#-Frank,Alternator Game,0.668000
S#-Frank,S#-Frank,Alternator Game,0.580000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.648000
S#-Frank,S#-Frank,Alternator Game,0.620000
S#-Frank,S#-Frank,Alternator Game,0.608000
S#-Frank,S#-Frank,Alternator Game,0.648000
S#-Frank,S#-Frank,Alternator Game,0.628000
S#-Frank,S#-Frank,Alternator Game,0.596000
S#-Frank,S#-Frank,Alternator Game,0.648000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.648000
S#-Frank,S#-Frank,Alternator Game,0.668000
S#-Frank,S#-Frank,Alternator Game,0.668000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.668000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.668000
S#-Frank,S#-Frank,Alternator Game,0.628000
S#-Frank,S#-Frank,Alternator Game,0.608000
S#-Frank,S#-Frank,Alternator Game,0.608000
S#-Frank,S#-Frank,Alternator Game,0.616000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.628000
S#-Frank,S#-Frank,Alternator Game,0.656000
S#-Frank,S#-Frank,Alternator Game,0.668000
S#-Frank,S#-Frank,Alternator Game,0.668000
S#-Frank,S#-Frank,Alternator Game,0.648000
S#-Frank,S#-Frank,Alternator Game,0.624000
S#-Frank,S#-Frank,Alternator Game,0.628000
S#-Frank,S#-Frank,Alternator Game,0.648000
S#-Frank,EEE#-Frank,Alternator Game,0.980000
S#-Frank,EEE#-Frank,Alternator Game,0.918000
S#-Frank,EEE#-Frank,Alternator Game,0.571000
S#-Frank,EEE#-Frank,Alternator Game,0.610000
